iter	Passed	Remaining
192	156	652
193	156	649
194	156	647
195	157	644
196	157	642
197	157	639
198	158	638
199	159	637
200	160	637
201	161	636
202	161	634
203	162	632
204	162	629
205	162	628
206	163	626
207	164	624
208	164	622
209	164	620
210	165	617
211	165	616
212	166	616
213	167	616
214	168	614
215	168	612
216	169	611
217	169	609
218	170	607
219	170	605
220	171	602
221	171	600
222	171	598
223	172	596
224	172	594
225	173	595
226	174	594
227	175	592
228	175	590
229	175	588
230	176	586
231	176	584
232	177	582
233	177	580
234	177	579
235	178	577
236	178	575
237	179	573
238	179	572
239	180	571
240	181	570
241	181	568
242	182	567
243	182	566
244	183	564
245	183	563
246	184	561
247	184	560
248	185	559
249	186	558
250	186	556
251	187	555
252	187	553
253	187	552
254	189	553
255	189	552
256	190	551
257	191	549
258	191	547
259	191	546
260	192	544
261	192	542
262	193	541
263	193	539
264	193	537
265	194	536
266	194	534
267	195	534
268	196	534
269	197	533
270	198	532
271	198	532
272	199	531
273	200	530
274	200	528
275	200	527
276	201	525
277	201	523
278	202	522
279	202	521
280	203	520
281	204	520
282	205	520
283	206	520
284	207	519
285	207	518
286	208	516
287	208	515
288	208	513
289	209	512
290	210	512
291	211	512
292	211	511
293	212	510
294	212	508
295	213	507
296	213	505
297	213	504
298	214	503
299	215	502
300	216	501
301	216	500
302	217	500
303	218	500
304	219	500
305	220	499
306	220	498
307	221	498
308	222	498
309	223	497
310	223	496
311	224	495
312	225	495
313	226	495
314	227	493
315	227	492
316	227	490
317	228	489
318	228	488
319	229	486
320	230	487
321	231	487
322	232	487
323	233	486
324	234	486
325	235	486
326	235	485
327	328	238	328	329	239	329	330	239	330	331	240	331	332	241	483
333	243	484
334	244	484
335	244	483
336	245	482
337	246	482
338	246	481
339	247	480
340	248	479
341	249	479
342	250	479
343	250	478
344	251	477
345	252	476
346	252	475
347	253	475
348	254	473
349	254	349	350	255	473
351	257	474
352	258	473
353	258	472
354	259	471
355	260	355	356	260	356	357	261	468
358	262	358	359	262	467
360	263	467
361	264	361	362	265	362	363	265	464
364	266	463
365	267	463
366	268	462
367	269	463
368	271	463
369	271	463
370	272	462
371	273	461
372	274	460
373	274	460
374	275	459
375	276	458
376	277	458
377	278	458
378	279	457
379	279	456
380	280	455
381	281	454
382	281	454
383	283	454
384	284	454
385	285	454
386	286	453
387	286	452
388	287	451
389	288	450
390	289	450
391	290	450
392	291	450
393	292	450
394	293	449
395	294	448
396	294	447
397	295	446
398	295	445
399	296	444
400	299	447
401	300	446
402	301	446
403	302	445
404	302	444
405	303	443
406	303	442
407	304	441
408	304	440
409	306	440
410	306	439
411	307	438
412	308	438
413	310	439
414	311	439
415	312	438
416	312	437
417	313	436
418	314	435
419	315	435
420	316	435
421	316	433
422	317	432
423	317	431
424	319	431
425	320	432
426	322	432
427	324	427	428	325	433
429	326	429	430	327	430	431	327	431	432	328	432	433	328	433	434	329	434	435	330	427
436	333	429
437	336	432
438	337	438	439	342	435
440	343	435
441	344	434
442	344	433
443	345	433
444	346	432
445	347	431
446	347	430
447	347	428
448	348	427
449	348	426
450	349	425
451	349	423
452	350	422
453	350	421
454	350	420
455	351	419
456	353	419
457	353	418
458	354	417
459	354	416
460	355	415
461	356	414
462	357	414
463	358	414
464	360	414
465	361	413
466	361	412
467	362	412
468	363	411
469	364	411
470	364	409
471	365	408
472	366	408
473	367	407
474	368	406
475	368	405
476	369	404
477	369	403
478	370	402
479	370	401
480	371	400
481	372	400
482	372	399
483	374	398
484	375	398
485	375	397
486	376	486	487	376	487	488	376	488	489	377	489	490	377	391
491	378	390
492	378	389
493	379	493	494	379	387
495	380	386
496	381	496	497	382	497	498	382	498	499	383	499	500	383	500	501	383	501	502	384	502	503	384	378
504	385	377
505	385	376
506	386	375
507	386	507	508	387	508	509	388	509	510	389	510	511	389	511	512	390	370
513	390	369
514	391	368
515	391	367
516	391	516	517	392	517	518	392	363
519	392	362
520	393	361
521	394	361
522	395	360
523	396	359
524	396	359
525	397	358
526	397	356
527	398	355
528	398	354
529	398	353
530	399	352
